	Code	Name	Type	Formula	PubChem	IUPAC	Smiles	Weight	Clusters	Symbol	Source	Essential amino acids	Error
264	Hpg	HydroxyPhenylGlycine	NRPS	C8H9NO3	36143	(2S)-2-amino-2-(4-hydroxyphenyl)acetic acid	NC(C(=O)O)c1ccc(O)cc1	167.16196	"['Hpg*', 'Hpg*']"		Norine		
265	Dhpg	"3,5-dihydroxyphenylglycine"	NRPS	C8H9NO4	108001	"2-amino-2-(3,5-dihydroxyphenyl)acetic acid"	NC(C(=O)O)c1cc(O)cc(O)c1	183.16136	"['Hpg*', 'Hpg*']"		Norine		
266	D-Hpg	D-HydroxyPhenylGlycine	NRPS	C8H9NO3	89853	(2R)-2-amino-2-(4-hydroxyphenyl)ethanoic acid	NC(C(=O)O)c1ccc(O)cc1	167.16196	"['Hpg*', 'Hpg*']"		Norine		
267	Cl2-Hpg	"3,5-dichloro-4-hydroxyphenylglycine"	NRPS	C8H7Cl2NO3	11630046	"2-amino-2-(3,5-dichloro-4-hydroxyphenyl)acetic acid"	NC(C(=O)O)c1cc(c(O)c(c1)Cl)Cl	236.0521	"['Hpg*', 'Hpg*']"		Norine		
268	NMe-Hpg	N-methyl-HydroxyPhenylGlycine	NRPS	C9H11NO3	15118056	2-(4-hydroxyphenyl)-2-methylaminoacetic acid	CNC(C(=O)O)c1ccc(O)cc1	181.18854	"['Hpg*', 'Hpg*']"		Norine		
269	OH-dHpg	N-hydroxy-dehydro-HydroxyPhenylGlycine	NRPS	C8H7NO4	20339127	"2-(hydroxyamino)-2-(4-oxo-1-cyclohexa-2,5-dienylidene)acetic acid"	ONC(C(=O)O)=C1C=CC(=O)C=C1	181.14548	"['Hpg*', 'Hpg*']"		Norine		
270	D-Kyn	D-kynurenine	NRPS	C10H12N2O3	1152206	(2R)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid	NC(CC(=O)c1ccccc1(N))C(=O)O	208.21387	"['Kyn*', 'Kyn*']"		Norine		
271	Kyn	kynurenine	NRPS	C10H12N2O3	161166	(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid	NC(CC(=O)c1ccccc1(N))C(=O)O	208.21387	"['Kyn*', 'Kyn*']"		Norine		
272	4OH-D-Ph-Lac	4-hydroxy-D-phenyl-lactate	NRPS	C9H10O4	9378	2-hydroxy-3-(4-hydroxyphenyl)propanoic acid	Oc1ccc(cc1)CC(O)C(=O)O	182.17331	"['Lac*', 'Lac*']"		Norine		
273	Ph-Lac	Phenyl-lactate	unknown	C9H10O3		2-hydroxy-3-phenylpropanoic acid	O=C(O)C(O)Cc1ccccc1	166.1739	"['Lac*', 'Lac*']"		Norine		
274	Lac	Lactic acid	NRPS	C3H6O3	107689	(2S)-2-hydroxypropanoic acid	CC(O)C(=O)O	90.07794	"['Lac*', 'Lac*']"		Norine		
275	D-Ph-Lac	D-Phenyl-lactate	NRPS	C9H10O3	643327	(2R)-2-hydroxy-3-phenylpropanoic acid	O=C(O)C(O)Cc1ccccc1	166.1739	"['Lac*', 'Lac*']"		Norine		
276	D-Lac	D-lactic acid	NRPS	C3H6O3	61503	(2R)-2-hydroxypropanoic acid	CC(O)C(=O)O	90.07794	"['Lac*', 'Lac*']"		Norine		
277	bLys	beta lysine	NRPS	C6H14N2O2	439417	"(3S)-3,6-diaminohexanoic acid"	NCCCC(N)CC(=O)O	146.18756	"['Lys*', 'Lys*']"	K*	Norine		
278	Lys	Lysine	NRPS	C6H14N2O2	5962	"(2S)-2,6-diaminohexanoic acid"	NCCCCC(N)C(=O)O	146.18756	"['Lys*', 'Lys*']"	K	Norine	1	
279	D-Lys	D-Lysine	NRPS	C6H14N2O2	57449	"(2R)-2,6-diaminohexanoic acid"	NCCCCC(N)C(=O)O	146.18756	"['Lys*', 'Lys*']"	K*	Norine		
280	NFo-Lys	N-formyl-lysine		C7H14N2O3	12679627		NCCCCC(NC=O)C(=O)O	174.2	"['Lys*', 'Lys*']"	K*	Norine		
281	D-NFo-Lys	D-N-formyl-lysine		C7H14N2O3	12679627		NCCCCC(NC=O)C(=O)O	174.2	"['Lys*', 'Lys*']"	K*	Norine		
282	OH-bLys	hydroxy-beta lysine	NRPS	C6H14N2O3	14158724	"3,6-diamino-4-hydroxyhexanoic acid"	NCCC(O)C(N)CC(O)=O	162.189	"['Lys*', 'Lys*']"	K*	Norine		
283	bbMe2-O-Met	"beta,beta-dimethyl-Methionine-S-oxide"	NRPS	C7H15NO3S			CC(C)(CS(C)=O)C(N)C(=O)O	193.2639	"['Met*', 'Met*']"	M*	Norine		
284	O2-Met	Methionine sulfone	NRPS	C5H11NO4S	445282	(2S)-2-amino-4-methylsulfonylbutanoic acid	CS(=O)(=O)CCC(N)C(=O)O	181.21014	"['Met*', 'Met*']"	M*	Norine		
285	O-Met	Methionine-S-oxide	NRPS	C5H11NO3S	158980	(2S)-2-amino-4-methylsulfinylbutanoic acid	CS(=O)CCC(N)C(=O)O	165.21074	"['Met*', 'Met*']"	M*	Norine		
286	Met	Methionine	NRPS	C5H11NO2S	6137	(2S)-2-amino-4-methylsulfanylbutanoic acid	CSCCC(N)C(=O)O	149.21133	"['Met*', 'Met*']"	M	Norine	1	
287	NFo-D-Abu	N-formyl-D-aminobutyric acid	unknown	C5H9NO3	10366843	2-formamidobutanoic acid	CCC(NC=O)C(=O)O	131.12985	"['Abu*', 'Nonpolar']"		Norine		
288	OH-4Abu	4-amino-3-hydroxybutyric acid	unknown	C4H9NO3	10324161	4-amino-3-hydroxybutanoic acid	NCC(O)CC(=O)O	119.119156	"['Abu*', 'Nonpolar']"		Norine		
289	D-Abu	D-2-Aminobutyric acid	NRPS	C4H9NO2	439691	(2R)-2-aminobutanoic acid	CCC(N)C(=O)O	103.11977	"['Abu*', 'Nonpolar']"		Norine		
290	dhAbu	"2,3-dehydro-2-aminobutyric acid"	other	C4H7NO2	3883418	(Z)-2-aminobut-2-enoic acid	CC=C(N)C(=O)O	101.10388	"['Abu*', 'Nonpolar']"		Norine		
291	2Dh-Mabu	2-methylamino-2-dehydrobutyric acid	NRPS	C5H9NO2			CC=C(NC)C(=O)O	115.13046	"['Abu*', 'Nonpolar']"		Norine		
292	Abu	2-Aminobutyric acid	NRPS	C4H9NO2	80283	(2S)-2-aminobutanoic acid	CCC(N)C(=O)O	103.11977	"['Abu*', 'Nonpolar']"		Norine		
293	Hil	homoisoleucine	NRPS	C7H15NO2	192784	(2S)-2-amino-4-methylhexanoic acid	CCC(C)CC(N)C(=O)O	145.19951	"['Hil*', 'Nonpolar']"		Norine		
294	aIle	allo-Isoleucine	NRPS	C6H13NO2	49866323	"(2S,3R)-2-amino-3-methylpentanoic acid"	CCC(C)C(N)C(=O)O	131.17293	"['Ile*', 'Nonpolar']"	I*	Norine		
295	D-aIle	D-allo-Isoleucine	NRPS	C6H13NO2	49866322	"(2R,3S)-2-amino-3-methylpentanoic acid"	CCC(C)C(N)C(=O)O	131.17293	"['Ile*', 'Nonpolar']"	I*	Norine		
296	NMe-OMe-Ile	"N,O-dimethyl-isoleucine"	unknown	C8H17NO2			CCC(C)C(NC)C(=O)OC	159.22607	"['Ile*', 'Nonpolar']"	I*	Norine		
297	D-Ile	D-Isoleucine	NRPS	C6H13NO2	11051686	(2R)-2-amino-3-methylpentanoic acid	CCC(C)C(N)C(=O)O	131.17293	"['Ile*', 'Nonpolar']"	I*	Norine		
298	diMe-aIle	"N,gamma-alloisoleucine"	NRPS	C8H17NO2			CNC(C(=O)O)C(C)C(C)C	159.2261	"['Ile*', 'Nonpolar']"	I*	Norine		
299	NMe-OH-Ile	N-methyl-hydroxyisoleucine	unknown	C7H15NO3			CNC(C(O)=O)C(C)CCO	161.1989	"['Ile*', 'Nonpolar']"	I*	Norine		
300	NMe-NAc-Ile	N-methyl-N-acetyl-Isoleucine		C9H17NO3	63703758	2-[acetyl(methyl)amino]-3-methylpentanoic acid	CCC(C)C(C(=O)O)N(C)C(C)=O	187.121	"['Ile*', 'Nonpolar']"	I*	Norine		
301	NMe-Ile	N-Methyl-Isoleucine	NRPS	C7H15NO2	5288628	"(2S,3S)-3-methyl-2-methylaminopentanoic acid"	CCC(C)C(NC)C(=O)O	145.19951	"['Ile*', 'Nonpolar']"	I*	Norine		
302	NMe-aIle	N-methyl-alloIsoleucine	NRPS	C7H15NO2	40475365	"(2S,3R)-3-Methyl-2-methylaminopentanoic acid"	CCC(C)C(NC)C(=O)O	145.19951	"['Ile*', 'Nonpolar']"	I*	Norine		
303	D-NMe-aIle	D-N-methyl-alloisoleucine	unknown	C7H15NO2			CCC(C)C(NC)C(=O)O	145.19951	"['Ile*', 'Nonpolar']"	I*	Norine		
304	Cl-Ile	Chloro-Isoleucine	unknown	C6H12ClNO2			CC(C(N)C(O)=O)C(C)Cl	165.61798	"['Ile*', 'Nonpolar']"	I*	Norine		
305	NFo-Ile	N-formyl-Isoleucine	NRPS	C7H13NO3	575051	2-formamido-3-methylpentanoic acid	CCC(C)C(NC=O)C(=O)O	159.18303	"['Ile*', 'Nonpolar']"	I*	Norine		
306	NAc-Ile	N-acetyl-Isoleucine		C8H15NO3	7036275	"(2S,3S)-2-acetamido-3-methylpentanoic acid"	CCC(C)C(NC(C)=O)C(=O)O	173.2096	"['Ile*', 'Nonpolar']"	I*	Norine		
307	MeOx-Ile	methyloxazoline-isoleucine	unknown	C10H18N2O3			CCC(C)C(N)C1=NC(C(=O)O)C(C)O1	214.26152	"['Ile*', 'Nonpolar']"	I*	Norine		
308	Ileol	Isoleucinol	NRPS	C6H15NO	2724027	"(2S,3S)-2-amino-3-methylpentan-1-ol"	CCC(C)C(N)CO	117.1894	"['Ile*', 'Nonpolar']"	I*	Norine		
309	Ile	Isoleucine	NRPS	C6H13NO2	6306	"(2S,3S)-2-amino-3-methylpentanoic acid"	CCC(C)C(N)C(=O)O	131.17293	"['Ile*', 'Nonpolar']"	I	Norine	1	
310	bMe-Ile	beta-methylisoleucine	NRPS	C7H15NO2	15042684	"2-amino-3,3-dimethylpentanoic acid"	CCC(C)(C)C(N)C(=O)O	145.19951	"['Ile*', 'Nonpolar']"	I*	Norine		
311	NFo-Leu	N-formyl-Leucine	NRPS	C7H13NO3	100119	2-formamido-4-methylpentanoic acid	CC(C)CC(NC=O)C(=O)O	159.18303	"['Leu*', 'Nonpolar']"	L*	Norine		
312	D-t-Leu	D-tert-Leu	NRPS	C6H13NO2	6950340	"(2R)-2-amino-3,3-dimethylbutanoic acid"	CC(C)(C)C(N)C(=O)O	131.17293	"['Leu*', 'Nonpolar']"	L*	Norine		
313	t-Leu	tert-Leu	NRPS	C6H13NO2	164608	"(2S)-2-amino-3,3-dimethylbutanoic acid"	CC(C)(C)C(N)C(=O)O	131.17293	"['Leu*', 'Nonpolar']"	L*	Norine		
314	Cl3-NMe-Leu	tri-chloro-N-methyl-Leucine	unknown	C7H12Cl3NO2			CNC(CC(C)C(Cl)(Cl)Cl)C(O)=O	248.53468	"['Leu*', 'Nonpolar']"	L*	Norine		
315	Cl3-NMe-dhLeu	tri-chloro-N-methyl-dehydroLeucine	unknown	C7H10Cl3NO2			CNC(=CC(C)C(Cl)(Cl)Cl)C(O)=O	246.51881	"['Leu*', 'Nonpolar']"	L*	Norine		
316	Cl3-5OH-NMe-Leu	tri-chloro-5-hydroxy-N-methyl-Leucine	unknown	C7H12Cl3NO3			CNC(CC(CO)C(Cl)(Cl)Cl)C(O)=O	264.53406	"['Leu*', 'Nonpolar']"	L*	Norine		
317	Cl3-2OH-NMe-Leu	tri-chloro-2-hydroxy-N-methyl-Leucine	unknown	C7H12Cl3NO3			CNC(O)(CC(C)C(Cl)(Cl)Cl)C(O)=O	264.53406	"['Leu*', 'Nonpolar']"	L*	Norine		
318	D-NMe-Leu	D-N-methyl-Leucine	NRPS	C7H15NO2	567743	4-methyl-2-methylaminopentanoic acid	CNC(CC(C)C)C(=O)O	145.19951	"['Leu*', 'Nonpolar']"	L*	Norine		
319	NMe-bMe-Leu	"N,beta-dimethylLeucine"	unknown	C8H17NO2	15385160	"3,4-dimethyl-2-methylaminopentanoic acid"	CNC(C(=O)O)C(C)C(C)C	159.22607	"['Leu*', 'Nonpolar']"	L*	Norine		
320	D-Leu	D-Leucine	NRPS	C6H13NO2	439524	(2R)-2-amino-4-methylpentanoic acid	CC(C)CC(N)C(=O)O	131.17293	"['Leu*', 'Nonpolar']"	L*	Norine		
321	Leuol	Leucinol	NRPS	C6H15NO	79030	2-amino-4-methylpentan-1-ol	CC(C)CC(N)CO	117.1894	"['Leu*', 'Nonpolar']"	L*	Norine		
322	Leu	Leucine	NRPS	C6H13NO2	6106	(2S)-2-amino-4-methylpentanoic acid	CC(C)CC(N)C(=O)O	131.17293	"['Leu*', 'Nonpolar']"	L	Norine	1	
323	NMe-Leu	N-Methyl-Leucine	NRPS	C7H15NO2	567743	4-methyl-2-methylaminopentanoic acid	CNC(CC(C)C)C(=O)O	145.19951	"['Leu*', 'Nonpolar']"	L*	Norine		
324	Cl2-NMe-dhLeu	di-chloro-N-methyl-dehydroLeucine	unknown	C7H11Cl2NO2			CNC(=CC(C)C(Cl)Cl)C(O)=O	212.07376	"['Leu*', 'Nonpolar']"	L*	Norine		
325	NtMe-Leu	N-trimethyl-leucine	NRPS	C9H20NO2			CC(C)CC(C(=O)O)N(C)(C)C	174.26059	"['Leu*', 'Nonpolar']"	L*	Norine		1
326	k-Leu	keto-Leucine	unknown	C6H10O3	70	4-methyl-2-oxopentanoic acid	CC(C)CC(=O)C(=O)O	130.1418	"['Leu*', 'Nonpolar']"	L*	Norine		
327	OAc-Leuol	O-acetyl-leucinol	NRPS	C8H17NO2	23037829	(2-amino-4-methylpentyl) acetate	CC(C)CC(N)COC(C)=O	159.22607	"['Leu*', 'Nonpolar']"	L*	Norine		
328	3OH-Leu	3-hydroxyleucine	NRPS	C6H13NO3	134611	(2S)-2-amino-3-hydroxy-4-methylpentanoic acid	CC(C)C(O)C(N)C(=O)O	147.17233	"['Leu*', 'Nonpolar']"	L*	Norine		
329	NdMe-Leu	N-dimethyl-leucine	NRPS	C8H17NO2	575134	2-dimethylamino-4-methylpentanoic acid	CC(C)CC(C(=O)O)N(C)C	159.22607	"['Leu*', 'Nonpolar']"	L*	Norine		
330	NAc-Leu	N-acetyl-Leucine	unknown	C8H15NO3	70912	(2S)-2-acetamido-4-methylpentanoic acid	CC(C)CC(NC(C)=O)C(=O)O	173.2096	"['Leu*', 'Nonpolar']"	L*	Norine		
331	Cl2-NMe-Leu	di-chloro-N-methyl-Leucine	unknown	C7H13Cl2NO2			CNC(CC(C)C(Cl)Cl)C(O)=O	214.08963	"['Leu*', 'Nonpolar']"	L*	Norine		
332	Nva	Norvaline	NRPS	C5H11NO2	65098	(2S)-2-aminopentanoic acid	CCCC(N)C(=O)O	117.14634	"['Nva*', 'Nonpolar']"		Norine		
333	D-Nva	D-Norvaline	unknown	C5H11NO2	439575	(2R)-2-aminopentanoic acid	CCCC(N)C(=O)O	117.14634	"['Nva*', 'Nonpolar']"		Norine		
334	Et-Nva	alpha-ethylnorvaline	NRPS	C7H15NO2	518928	2-amino-3-ethylpentanoic acid	CCC(CC)C(N)C(=O)O	145.19951	"['Nva*', 'Nonpolar']"		Norine		
335	D-NMe-Nva	D-N-methyl-norvaline	unknown	C6H13NO2	15677249	2-methylaminopentanoic acid	CCCC(NC)C(=O)O	131.17293	"['Nva*', 'Nonpolar']"		Norine		
336	D-Val	D-Valine	NRPS	C5H11NO2	71563	(2R)-2-amino-3-methylbutanoic acid	CC(C)C(N)C(=O)O	117.14634	"['Val*', 'Nonpolar']"	V*	Norine		
337	NOMe-Ac-Val	N-methoxyacetyl-valine	unknown	C8H15NO4	16771724	2-[(2-methoxyacetyl)amino]-3-methylbutanoic acid	COCC(=O)NC(C(C)C)C(=O)O	189.209	"['Val*', 'Nonpolar']"	V*	Norine		
338	Valol	valinol	NRPS	C5H13NO	79019	2-amino-3-methylbutan-1-ol	CC(C)C(N)CO	103.16282	"['Val*', 'Nonpolar']"	V*	Norine		
339	bOH-NMe-Val	beta-hydroxy-N-Methyl-Valine	NRPS	C6H13NO3	11029982	3-hydroxy-3-methyl-2-methylaminobutanoic acid	CNC(C(=O)O)C(C)(C)O	147.17233	"['Val*', 'Nonpolar']"	V*	Norine		
340	D-NMe-Val	D-N-Methylvaline	NRPS	C6H13NO2	4378	3-methyl-2-methylaminobutanoic acid	CNC(C(C)C)C(=O)O	131.17293	"['Val*', 'Nonpolar']"	V*	Norine		
341	NFo-Val	N-formyl-Valine	NRPS	C6H11NO3	6950945	(2S)-2-formamido-3-methylbutanoic acid	CC(C)C(NC=O)C(=O)O	145.15645	"['Val*', 'Nonpolar']"	V*	Norine		
342	D-bOH-Val	D-beta-hydroxyvaline	NRPS	C5H11NO3	192763	(2S)-2-amino-3-hydroxy-3-methylbutanoic acid	CC(C)(O)C(N)C(=O)O	133.14574	"['Val*', 'Nonpolar']"	V*	Norine		
343	Ac-Ival	N-acetyl-isovaline	NRPS	C7H13NO3	307926	2-acetamido-2-methylbutanoic acid	CCC(C)(NC(C)=O)C(=O)O	159.18303	"['Val*', 'Nonpolar']"	V*	Norine		
344	Ivalol	isovalinol	NRPS	C5H13NO	10154017	2-amino-2-methylbutan-1-ol	CCC(C)(N)CO	103.16282	"['Val*', 'Nonpolar']"	V*	Norine		
345	gOH-NMe-Val	gama-hydroxy-N-Methyl-Valine	NRPS	C6H13NO3	12439044	4-hydroxy-3-methyl-2-methylaminobutanoic acid	CNC(C(=O)O)C(C)CO	147.17233	"['Val*', 'Nonpolar']"	V*	Norine		
346	D-Ival	D-isovaline	NRPS	C5H11NO2		(2R)-2-amino-2-methylbutanoic acid	CCC(C)(N)C(=O)O	117.14634	"['Val*', 'Nonpolar']"	V*	Norine		
347	Ival	isovaline	NRPS	C5H11NO2	94744	2-amino-2-methylbutanoic acid	CCC(C)(N)C(=O)O	117.14634	"['Val*', 'Nonpolar']"	V*	Norine		
348	Val	Valine	NRPS	C5H11NO2	6287	(2S)-2-amino-3-methylbutanoic acid	CC(C)C(N)C(=O)O	117.14634	"['Val*', 'Nonpolar']"	V	Norine	1	
349	NMe-hv-Val	N-methyl homo vinylogous Valine	unknown	C9H17NO2			CNC(C=C(C)C(O)=O)C(C)C	171.23677	"['Val*', 'Nonpolar']"	V*	Norine		
350	bOH-Val	beta-hydroxyvaline	NRPS	C5H11NO3	192763	(2S)-2-amino-3-hydroxy-3-methylbutanoic acid	CC(C)(O)C(N)C(=O)O	133.14574	"['Val*', 'Nonpolar']"	V*	Norine		
351	Ac-Val	N-Acetylvaline	NRPS	C7H13NO3	227752	2-acetamido-3-methylbutanoic acid	CC(C)C(NC(C)=O)C(=O)O	159.18303	"['Val*', 'Nonpolar']"	V*	Norine		
352	NMe-Val	N-Methyl-Valine	NRPS	C6H13NO2	4378	3-methyl-2-methylaminobutanoic acid	CNC(C(C)C)C(=O)O	131.17293	"['Val*', 'Nonpolar']"	V*	Norine		
353	D-OH-Orn	D-N5-HydroxyOrnithine	NRPS	C5H12N2O3		2-amino-5-(hydroxyamino)pentanoic acid	NC(CCCNO)C(=O)O	148.16037	"['Orn*', 'Orn*']"		Norine		
354	D-Ac-OH-Orn	D-N-acetyl-HydroxyOrnithine	NRPS	C7H14N2O4	4471904	5-(acetyl-hydroxyamino)-2-aminopentanoic acid	CC(=O)N(O)CCCC(N)C(=O)O	190.19707	"['Orn*', 'Orn*']"		Norine		
355	D-OH-cOrn	D-Hydroxy-cycloOrnithine	NRPS	C5H10N2O2	18360061	3-amino-1-hydroxypiperidin-2-one	NC1CCCN(O)C1(=O)	130.1451	"['Orn*', 'Orn*']"		Norine		
356	D-Orn	D-ornithine	NRPS	C5H12N2O2	71082	"(2R)-2,5-diaminopentanoic acid"	NCCCC(N)C(=O)O	132.16098	"['Orn*', 'Orn*']"		Norine		
357	Fo-OH-Orn	N6-formyl-HydroxyOrnithine	NRPS	C6H12N2O4			NC(CCCN(O)C=O)C(=O)O	176.17047	"['Orn*', 'Orn*']"		Norine		
358	D-Fo-OH-Orn	D-formyl-hydroxyOrnithine	NRPS	C6H12N2O4			NC(CCCN(O)C=O)C(=O)O	176.17047	"['Orn*', 'Orn*']"		Norine		
359	Ac-OH-Orn	N-acetyl-HydroxyOrnithine	NRPS	C7H14N2O4	3881713	(2S)-5-(acetyl-hydroxyamino)-2-aminopentanoic acid	CC(=O)N(O)CCCC(N)C(=O)O	190.19707	"['Orn*', 'Orn*']"		Norine		
360	NAc-Fo-OH-Orn	N-acetyl-N6-formyl-N6-hydroxyOrnithine	unknown	C8H14N2O5			CC(=O)NC(CCCN(O)C=O)C(=O)O	218.20717	"['Orn*', 'Orn*']"		Norine		
361	OH-cOrn	Hydroxy-cycloOrnithine	NRPS	C5H10N2O2	18360061	3-amino-1-hydroxypiperidin-2-one	NC1CCCN(O)C1(=O)	130.1451	"['Orn*', 'Orn*']"		Norine		
362	OH-Orn	N5-hydroxy ornithine	NRPS	C5H12N2O3	169671	(2S)-2-amino-5-(hydroxyamino)pentanoic acid	NC(CCCNO)C(=O)O	148.16037	"['Orn*', 'Orn*']"		Norine		
363	Orn	Ornithine	NRPS	C5H12N2O2	6262	"(2S)-2,5-diaminopentanoic acid"	NCCCC(N)C(=O)O	132.16098	"['Orn*', 'Orn*']"		Norine		
364	Hph	Homophenylalanine	NRPS	C10H13NO2	2724505	(2S)-2-amino-4-phenylbutanoic acid	NC(CCc1ccccc1)C(=O)O	179.21573	"['Phe*', 'Phe+Trp']"	F*	Norine		
365	D-bPhe	D-beta-phenylalanine	NRPS	C9H11NO2	69189	3-amino-3-phenylpropanoic acid	NC(CC(=O)O)c1ccccc1	165.18913	"['Phe*', 'Phe+Trp']"	F*	Norine		
366	bPhe	beta phenylalanine	NRPS	C9H11NO2	10386037	3-amino-3-phenylpropanoic acid	NC(CC(=O)O)c1ccccc1	165.18913	"['Phe*', 'Phe+Trp']"	F*	Norine		
367	NMe-Phe	N-Methyl-Phenylalanine	NRPS	C10H13NO2	6427037	(2R)-2-methylamino-3-phenylpropanoic acid	CNC(Cc1ccccc1)C(=O)O	179.21573	"['Phe*', 'Phe+Trp']"	F*	Norine		
368	bOH-NMe-Phe	beta-hydroxy-N-Methyl-Phenylalanine	NRPS	C10H13NO3	13683857	3-hydroxy-2-methylamino-3-phenylpropanoic acid	CNC(C(=O)O)C(O)c1ccccc1	195.21512	"['Phe*', 'Phe+Trp']"	F*	Norine		
369	bOH-Br-Phe	beta-hydroxy-bromophenylalanine	unknown	C9H10BrNO3	23570533	2-amino-3-(4-bromophenyl)-3-hydroxypropanoic acid	NC(C(=O)O)C(O)c1ccc(cc1)Br	260.0846	"['Phe*', 'Phe+Trp']"	F*	Norine		
370	NOMe-Ac-D-Phe	N-methoxyacetyl-D-phenylalanine	unknown	C12H15NO4	16774532	2-[(2-methoxyacetyl)amino]-3-phenylpropanoic acid	COCC(=O)NC(Cc1ccccc1)C(=O)O	237.2518	"['Phe*', 'Phe+Trp']"	F*	Norine		
371	Ac-Phe	N-acetylphenylalanine	NRPS	C11H13NO3	74839	(2S)-2-acetamido-3-phenylpropanoic acid	CC(=O)NC(Cc1ccccc1)C(=O)O	207.22583	"['Phe*', 'Phe+Trp']"	F*	Norine		
372	3Me-Phe	3-methylphenylalanine	NRPS	C10H13NO2	2761494	(2S)-2-amino-3-(3-methylphenyl)propanoic acid	Cc1cccc(c1)CC(N)C(=O)O	179.21573	"['Phe*', 'Phe+Trp']"	F*	Norine		
373	NMe-dPhe	"N-methyl-2,3-dehydrophenylalanine"	NRPS	C10H11NO2			CNC(=Cc1ccccc1)C(O)=O	177.19984	"['Phe*', 'Phe+Trp']"	F*	Norine		
374	bMe-Br-Phe	beta-methyl-bromophenylalanine	unknown	C10H12BrNO2			CC(C(N)C(=O)O)c1ccc(cc1)Br	258.1118	"['Phe*', 'Phe+Trp']"	F*	Norine		
375	Pheol	phenylalaninol	NRPS	C9H13NO	447213	(2S)-2-amino-3-phenylpropan-1-ol	NC(CO)Cc1ccccc1	151.20563	"['Phe*', 'Phe+Trp']"	F*	Norine		
376	bMe-Phe	beta-methyl-phenylalanine		C10H13NO2			CC(C(N)C(=O)O)c1ccccc1	179.2291	"['Phe*', 'Phe+Trp']"	F*	Norine		
377	Phe	Phenylalanine	NRPS	C9H11NO2	6140	(2S)-2-amino-3-phenylpropanoic acid	NC(Cc1ccccc1)C(=O)O	165.18913	"['Phe*', 'Phe+Trp']"	F	Norine	1	
378	diOH-Phe	"3,4-dihydroxyphenylalanine"	unknown	C9H11NO4	836	"2-amino-3-(3,4-dihydroxyphenyl)propanoic acid"	NC(Cc1ccc(O)c(O)c1)C(=O)O	197.18794	"['Phe*', 'Phe+Trp']"	F*	Norine		
379	NMe-Me2A-Phe	N-methyl-4-dimethylamino-phenylalanine	NRPS	C12H18N2O2			CNC(Cc1ccc(cc1)N(C)C)C(=O)O	222.28351	"['Phe*', 'Phe+Trp']"	F*	Norine		
380	Br-Phe	bromophenylalanine	unknown	C9H10BrNO2	85681	2-amino-3-(4-bromophenyl)propanoic acid	NC(Cc1ccc(cc1)Br)C(=O)O	244.0852	"['Phe*', 'Phe+Trp']"	F*	Norine		
381	D-NMe-Phe	D-N-Methyl-Phenylalanine	unknown	C10H13NO2	4657542	2-methylamino-3-phenylpropanoic acid	CNC(Cc1ccccc1)C(=O)O	179.21573	"['Phe*', 'Phe+Trp']"	F*	Norine		
382	NMe-MeA-Phe	N-methyl-4-methylamino-phenylalanine	NRPS	C11H16N2O2	21137790	2-methylamino-3-(4-methylaminophenyl)propanoic acid	CNc1ccc(cc1)CC(NC)C(=O)O	208.25694	"['Phe*', 'Phe+Trp']"	F*	Norine		
383	D-Phe	D-Phenylalanine	NRPS	C9H11NO2	71567	(2R)-2-amino-3-phenylpropanoic acid	NC(Cc1ccccc1)C(=O)O	165.18913	"['Phe*', 'Phe+Trp']"	F*	Norine		
384	NMe-Br-Trp	N-methyl-2-Bromo-tryptophan	NRPS	C12H13BrN2O2			CNC(Cc1c2ccccc2([nH]c1Br))C(=O)O	297.14783	"['Trp*', 'Phe+Trp']"	W*	Norine		
385	NMe-Cl-Trp	N-methyl-6-chloro-tryptophan	unknown	C12H13ClN2O2			CNC(Cc1c[nH]c2cc(ccc12)Cl)C(=O)O	252.69682	"['Trp*', 'Phe+Trp']"	W*	Norine		
386	D-Cl-Trp	D-6_-chloro-tryptophan	unknown	C11H11ClN2O2	65259	6-chloro-DL-tryptophan	NC(Cc1c[nH]c2cc(ccc12)Cl)C(=O)O	238.67024	"['Trp*', 'Phe+Trp']"	W*	Norine		
387	bbNMe-NMe-Trp	"beta,beta,N1,N-tetramethyltryptophan"	unknown	C15H20N2O2			CNC(C(O)=O)C(C)(C)c2cn(C)c1ccccc12	260.3315	"['Trp*', 'Phe+Trp']"	W*	Norine		
388	Trp	Tryptophan	NRPS	C11H12N2O2	6305	(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid	NC(Cc1c[nH]c2ccccc12)C(=O)O	204.22517	"['Trp*', 'Phe+Trp']"	W	Norine	1	
389	Ac-Trp	N-acetyltryptophan	NRPS	C13H14N2O3	2002	2-acetamido-3-(1H-indol-3-yl)propanoic acid	CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O	246.26186	"['Trp*', 'Phe+Trp']"	W*	Norine		
390	pTrp	phototryptophan	unknown	C11H12N2O3	10331043	"8b-hydroxy-2,3,3a,4-tetrahydro-1H-pyrrolo[5,4-b]indole-2-carboxylic acid"	O=C(O)C1CC2(O)(c3ccccc3(NC2(N1)))	220.22458	"['Trp*', 'Phe+Trp']"	W*	Norine		
